534,Bohail,57
535,Chaluabari,57
536,Chandanbaisha,57
537,Fulbari,57
538,Hatsherpur,57
539,Kamalpur,57
540,Kazla,57
541,Karnibari,57
542,Kutubpur,57
543,Narchi,57
544,Sariakandi,57
545,Bhabanipur,58
546,Bishalpur,58
547,Garidaha,58
548,Khamarkandi,58
549,Khanpur,58
550,Kusumbi,58
551,Mirzapur,58
552,Shimabari,58
553,Sughat,58
554,Atmul,59
555,Bihar,59
556,Buriganj,59
557,Dewli,59
558,Kichak,59
559,Maidanhata,59
560,Majhihatta,59
561,Mokamtala,59
562,Pirab,59
563,Roynagar,59
564,Sayedpur,59
565,Shibganj,59
566,Balua,60
567,Digdair,60
568,Jorgachha,60
569,Madhupur,60
570,Pakulla,60
571,Sonatala,60
572,Tekanichukainagar,60
573,Amrul,61
574,Aria,61
575,Asekpur,61
576,Chupinagar,61
577,Gohail,61
578,Kharna,61
579,Khottapara,61
580,Madla,61
581,Majhira,61
582,Sultanganj,61
583,Alinagar,62
584,Bhangabari,62
585,Boalia,62
586,Chowdala,62
587,Gomastapur,62
588,Parbatipur,62
589,Radhanagar,62
590,Rahanpur,62
591,Bholahat,63
592,Daldali,63
593,Gohalbari,63
594,Jambaria,63
595,Fatepur,64
596,Kasba,64
597,Nachol,64
598,Nezampur,64
599,Alatuli,65
600,Balidanga,65
601,Barogharia,65
602,Char Anupnagar,65
603,Charbagdanga,65
604,Debinagar,65
605,Gobratala,65
606,Islampur,65
607,Jhilim,65
608,Maharajpur,65
609,Narayanpur,65
610,Ranihati,65
611,Shahajahanpur,65
612,Sundarpur,65
613,Binodpur,66
614,Chakkirti,66
615,Daipukuria,66
616,Dhainagar,66
617,Durlabhpur,66
618,Ghorapakhia,66
619,Kansat,66
620,Mobarakpur,66
621,Monakasha,66
622,Nayalabhanga,66
623,Panka,66
624,Chhatrajitpur,66
625,Shahbajpur,66
626,Shyampur,66
627,Uzirpur,66
628,Chitoshi(E),67
629,Chitoshi(W),67
630,Uttar Meher,67
631,Dakshin Meher,67
632,Uttar Roysree,67
633,Dakshin Roysree,67
634,Uttar Suchi Para,67
635,Dakshin Suchi Para,67
636,Tamta,67
637,Ashikati,68
638,Kalyanpur,68
639,Baghadi,68
640,Balia,68
641,Bishnupur,68
642,Chandra,68
643,Hanar Char,68
644,Ibrahimpur,68
645,Maishadi,68
646,Rajrajeshwar,68
647,Shah Mahmudpur,68
648,Rampur,68
649,Sakua,68
650,Tarpur Chandi,68
651,Purba Baluthuba,69
652,Paschim Baluthuba,69
653,Purba Char Dukhia,69
654,Paschim Char Dukhia,69
655,Uttar Faridganj,69
656,Dakshin Faridganj,69
657,Uttar Gobindapur,69
658,Dakshin Gobindapur,69
659,Purba Gupti,69
660,Paschim Gupti,69
661,Uttar Paikpara,69
662,Dakshin Paik Para,69
663,Uttar Rupsa,69
664,Dakshin Rupsa,69
665,Purba Subidpur,69
666,Paschim Subidpur,69
667,Uttar Algi Durgapur,70
668,Dakshin Algi Durgapur,70
669,Char Bhairabi,70
670,Haim Char,70
671,Gazipur,70
672,Nilkamal,70
673,Purba Barkur,71
674,Paschim Barkur,71
675,Uttar Gandharabpur,71
676,Dakshin Gandharbapur,71
677,Hajiganj,71
678,Hatila Paschim,71
679,Hatila Purba,71
